job_title,industry,job_description,skills_required,experience_required
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: AutoCAD, Python, C++, SolidWorks, Robotics with 8+ years experience.","AutoCAD, Python, C++, SolidWorks, Robotics",8
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Clinical Data Analysis, Biostatistics, Healthcare Analytics, Medical Terminology, Patient Care, Python with 9+ years experience.","Clinical Data Analysis, Biostatistics, Healthcare Analytics, Medical Terminology, Patient Care, Python",9
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: Google Analytics, Content Marketing, Excel, Marketing Strategy with 9+ years experience.","Google Analytics, Content Marketing, Excel, Marketing Strategy",9
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: Microservices, Docker, Python, Linux with 5+ years experience.","Microservices, Docker, Python, Linux",5
Data Scientist,Data,"Data Scientist role in Data requiring skills: Statistics, SQL, NLP, Deep Learning, PyTorch, Big Data, R with 7+ years experience.","Statistics, SQL, NLP, Deep Learning, PyTorch, Big Data, R",7
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: C++, MATLAB, PLC Programming with 3+ years experience.","C++, MATLAB, PLC Programming",3
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: Excel, PPC, Brand Management with 3+ years experience.","Excel, PPC, Brand Management",3
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Risk Management, Investment Modeling, Accounting, Financial Analysis, Budgeting with 5+ years experience.","Risk Management, Investment Modeling, Accounting, Financial Analysis, Budgeting",5
Project Manager,Operations,"Project Manager role in Operations requiring skills: Logistics, Lean Six Sigma, Project Management with 7+ years experience.","Logistics, Lean Six Sigma, Project Management",7
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: CRM, Negotiation, Excel, Sales Strategy, Lead Generation, Business Development with 5+ years experience.","CRM, Negotiation, Excel, Sales Strategy, Lead Generation, Business Development",5
Professor,Education,"Professor role in Education requiring skills: Curriculum Design, Python, Research, Educational Technology, Communication, Teaching with 2+ years experience.","Curriculum Design, Python, Research, Educational Technology, Communication, Teaching",2
Lab Technician,Healthcare,"Lab Technician role in Healthcare requiring skills: Clinical Data Analysis, Healthcare Analytics, Python, Patient Care, Medical Terminology, Research with 5+ years experience.","Clinical Data Analysis, Healthcare Analytics, Python, Patient Care, Medical Terminology, Research",5
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Google Analytics, Brand Management, SEO, Email Marketing with 9+ years experience.","Google Analytics, Brand Management, SEO, Email Marketing",9
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: SolidWorks, PLC Programming, MATLAB, AutoCAD, Robotics, Project Management with 6+ years experience.","SolidWorks, PLC Programming, MATLAB, AutoCAD, Robotics, Project Management",6
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Node.js, Kubernetes, Cloud, Java with 4+ years experience.","Node.js, Kubernetes, Cloud, Java",4
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Excel, Lead Generation, Business Development with 7+ years experience.","Excel, Lead Generation, Business Development",7
AI Researcher,Data,"AI Researcher role in Data requiring skills: PowerBI, Deep Learning, NLP, SQL, Excel, Machine Learning with 10+ years experience.","PowerBI, Deep Learning, NLP, SQL, Excel, Machine Learning",10
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Marketing Strategy, SEO, Brand Management with 3+ years experience.","Marketing Strategy, SEO, Brand Management",3
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: SQL, Budgeting, Excel, Forecasting with 5+ years experience.","SQL, Budgeting, Excel, Forecasting",5
Accountant,Finance,"Accountant role in Finance requiring skills: Excel, Financial Analysis, Investment Modeling, Forecasting, Taxation with 6+ years experience.","Excel, Financial Analysis, Investment Modeling, Forecasting, Taxation",6
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Robotics, PLC Programming, MATLAB, CAD, SolidWorks with 2+ years experience.","Robotics, PLC Programming, MATLAB, CAD, SolidWorks",2
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Supply Chain, Process Improvement, Logistics, Agile, Excel, Lean Six Sigma with 5+ years experience.","Supply Chain, Process Improvement, Logistics, Agile, Excel, Lean Six Sigma",5
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Python, Biostatistics, Medical Terminology, Patient Care, Clinical Data Analysis, Healthcare Analytics, Research with 4+ years experience.","Python, Biostatistics, Medical Terminology, Patient Care, Clinical Data Analysis, Healthcare Analytics, Research",4
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Research, Python, Patient Care with 3+ years experience.","Research, Python, Patient Care",3
Project Manager,Operations,"Project Manager role in Operations requiring skills: Excel, Logistics, Project Management, Supply Chain, Agile with 7+ years experience.","Excel, Logistics, Project Management, Supply Chain, Agile",7
Teacher,Education,"Teacher role in Education requiring skills: Teaching, Curriculum Design, Research, Communication with 7+ years experience.","Teaching, Curriculum Design, Research, Communication",7
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Agile, Supply Chain, Logistics, Excel with 7+ years experience.","Agile, Supply Chain, Logistics, Excel",7
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Budgeting, Accounting, Forecasting, Financial Analysis with 3+ years experience.","Budgeting, Accounting, Forecasting, Financial Analysis",3
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Accounting, Investment Modeling, Forecasting with 9+ years experience.","Accounting, Investment Modeling, Forecasting",9
Education Consultant,Education,"Education Consultant role in Education requiring skills: Research, Teaching, Curriculum Design, Educational Technology with 6+ years experience.","Research, Teaching, Curriculum Design, Educational Technology",6
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Email Marketing, Brand Management, Excel, Google Analytics, PPC with 5+ years experience.","Email Marketing, Brand Management, Excel, Google Analytics, PPC",5
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Git, Microservices, Linux, Node.js, C++ with 9+ years experience.","Git, Microservices, Linux, Node.js, C++",9
Education Consultant,Education,"Education Consultant role in Education requiring skills: Python, Curriculum Design, Communication, Educational Technology, Research, Teaching with 8+ years experience.","Python, Curriculum Design, Communication, Educational Technology, Research, Teaching",8
Auditor,Finance,"Auditor role in Finance requiring skills: Excel, Risk Management, Budgeting, Financial Analysis, Forecasting, Accounting with 2+ years experience.","Excel, Risk Management, Budgeting, Financial Analysis, Forecasting, Accounting",2
Professor,Education,"Professor role in Education requiring skills: Research, Curriculum Design, Python, Communication with 6+ years experience.","Research, Curriculum Design, Python, Communication",6
Professor,Education,"Professor role in Education requiring skills: Communication, Research, Educational Technology with 7+ years experience.","Communication, Research, Educational Technology",7
Professor,Education,"Professor role in Education requiring skills: Communication, Research, Python, Educational Technology, Teaching with 5+ years experience.","Communication, Research, Python, Educational Technology, Teaching",5
Data Scientist,Data,"Data Scientist role in Data requiring skills: R, Statistics, SQL with 8+ years experience.","R, Statistics, SQL",8
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Python, Healthcare Analytics, Medical Terminology, Patient Care, Biostatistics, Clinical Data Analysis, Research with 10+ years experience.","Python, Healthcare Analytics, Medical Terminology, Patient Care, Biostatistics, Clinical Data Analysis, Research",10
Business Analyst,Data,"Business Analyst role in Data requiring skills: Big Data, Tableau, Pandas, Python, Spark with 5+ years experience.","Big Data, Tableau, Pandas, Python, Spark",5
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: PPC, Email Marketing, Social Media, Excel with 4+ years experience.","PPC, Email Marketing, Social Media, Excel",4
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: React, Java, C++, Linux, Kubernetes, Node.js with 7+ years experience.","React, Java, C++, Linux, Kubernetes, Node.js",7
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Forecasting, Excel, Investment Modeling with 4+ years experience.","Forecasting, Excel, Investment Modeling",4
Data Engineer,Data,"Data Engineer role in Data requiring skills: Machine Learning, Python, Tableau, Deep Learning, SQL with 2+ years experience.","Machine Learning, Python, Tableau, Deep Learning, SQL",2
Project Manager,Operations,"Project Manager role in Operations requiring skills: Agile, Logistics, Project Management, Process Improvement with 2+ years experience.","Agile, Logistics, Project Management, Process Improvement",2
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: PPC, Google Analytics, Brand Management, Content Marketing, Email Marketing, Social Media, Marketing Strategy with 10+ years experience.","PPC, Google Analytics, Brand Management, Content Marketing, Email Marketing, Social Media, Marketing Strategy",10
Education Consultant,Education,"Education Consultant role in Education requiring skills: Python, Educational Technology, Research, Communication with 8+ years experience.","Python, Educational Technology, Research, Communication",8
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: CRM, Negotiation, Presentation Skills, Sales Strategy with 2+ years experience.","CRM, Negotiation, Presentation Skills, Sales Strategy",2
Auditor,Finance,"Auditor role in Finance requiring skills: Risk Management, SQL, Taxation, Excel, Investment Modeling, Financial Analysis, Forecasting with 5+ years experience.","Risk Management, SQL, Taxation, Excel, Investment Modeling, Financial Analysis, Forecasting",5
Project Manager,Operations,"Project Manager role in Operations requiring skills: Excel, Process Improvement, Agile, Logistics, Project Management, Lean Six Sigma, Supply Chain with 10+ years experience.","Excel, Process Improvement, Agile, Logistics, Project Management, Lean Six Sigma, Supply Chain",10
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Cloud, Node.js, Microservices, Git, SQL, CI/CD with 10+ years experience.","Cloud, Node.js, Microservices, Git, SQL, CI/CD",10
Data Engineer,Data,"Data Engineer role in Data requiring skills: Deep Learning, Pandas, SQL, R, Big Data, Tableau with 7+ years experience.","Deep Learning, Pandas, SQL, R, Big Data, Tableau",7
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: C++, Git, SQL, Java, Kubernetes, CI/CD with 9+ years experience.","C++, Git, SQL, Java, Kubernetes, CI/CD",9
Auditor,Finance,"Auditor role in Finance requiring skills: Forecasting, Risk Management, Excel with 6+ years experience.","Forecasting, Risk Management, Excel",6
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: C++, PLC Programming, Project Management with 2+ years experience.","C++, PLC Programming, Project Management",2
AI Researcher,Data,"AI Researcher role in Data requiring skills: Spark, Python, Statistics, Excel with 5+ years experience.","Spark, Python, Statistics, Excel",5
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: SEO, Email Marketing, PPC with 8+ years experience.","SEO, Email Marketing, PPC",8
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Excel, Financial Analysis, Taxation, Forecasting, Risk Management, SQL, Investment Modeling with 10+ years experience.","Excel, Financial Analysis, Taxation, Forecasting, Risk Management, SQL, Investment Modeling",10
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Social Media, SEO, Email Marketing, Excel with 7+ years experience.","Social Media, SEO, Email Marketing, Excel",7
Business Analyst,Data,"Business Analyst role in Data requiring skills: PyTorch, TensorFlow, Spark with 6+ years experience.","PyTorch, TensorFlow, Spark",6
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Business Development, Excel, Presentation Skills, Lead Generation, CRM with 10+ years experience.","Business Development, Excel, Presentation Skills, Lead Generation, CRM",10
